Date,PercentOfBaseline,State
3/28/2020,71,British Columbia
3/28/2020,92,Manitoba
3/28/2020,44,Nova Scotia
3/28/2020,38,Ontario
3/28/2020,73,Ontario
3/28/2020,57,Quebec
3/28/2020,51,Quebec
3/28/2020,66,California
3/28/2020,55,California
3/28/2020,60,Colorado
3/28/2020,54,Florida
3/28/2020,77,Georgia
3/28/2020,99,Hawaii
3/28/2020,68,Illinois
3/28/2020,70,Massachusetts
3/28/2020,48,Michigan
3/28/2020,42,North Carolina
3/28/2020,61,New Jersey
3/28/2020,16,Nevada
3/28/2020,58,New York
3/28/2020,60,New York
3/28/2020,64,Texas
3/28/2020,48,Virginia
3/28/2020,59,Washington
3/29/2020,66,New South Wales
3/29/2020,9,Santiago Province
3/29/2020,100,Alberta
3/29/2020,63,British Columbia
3/29/2020,73,Manitoba
3/29/2020,32,Nova Scotia
3/29/2020,28,Ontario
3/29/2020,64,Quebec
3/29/2020,41,Quebec
3/29/2020,58,California
3/29/2020,45,California
3/29/2020,52,Colorado
3/29/2020,52,Florida
3/29/2020,60,Georgia
3/29/2020,90,Hawaii
3/29/2020,61,Illinois
3/29/2020,68,Massachusetts
3/29/2020,45,Michigan
3/29/2020,50,North Carolina
3/29/2020,73,New Jersey
3/29/2020,12,Nevada
3/29/2020,55,New York
3/29/2020,57,New York
3/29/2020,49,Texas
3/29/2020,42,Virginia
3/29/2020,61,Washington
3/30/2020,75,New South Wales
3/30/2020,19,Santiago Province
3/30/2020,100,Alberta
3/30/2020,34,Alberta
3/30/2020,89,British Columbia
3/30/2020,100,Manitoba
3/30/2020,56,Nova Scotia
3/30/2020,58,Ontario
3/30/2020,97,Ontario
3/30/2020,43,Quebec
3/30/2020,69,Quebec
3/30/2020,69,California
3/30/2020,49,California
3/30/2020,55,Colorado
3/30/2020,62,Florida
3/30/2020,65,Georgia
3/30/2020,100,Hawaii
3/30/2020,71,Illinois
3/30/2020,63,Massachusetts
3/30/2020,46,Michigan
3/30/2020,77,North Carolina
3/30/2020,68,New Jersey
3/30/2020,38,Nevada
3/30/2020,72,New York
3/30/2020,45,New York
3/30/2020,56,Texas
